org_name,address,city,zip,state,phone,category,services
SPENCER LUXURY CARE LP,1951 PAPAGO LANE,LAS VEGAS,89169,NV,702-433-3735,senior-services,assisted-living-group
SPRING VALLEY ALZ CARE CENTER,6428 CRYSTAL DEW DRIVE,LAS VEGAS,89118,NV,702-277-8837,senior-services,assisted-living-group
SPRING VALLEY ALZHEIMERS CARE,5310 SHARON MARIE COURT,LAS VEGAS,89118,NV,702-251-1978,senior-services,assisted-living-group
SPRUCE OAK RESIDENTIAL CARE FACILITY,4618 SPRUCE OAK DR ,NORTH LAS VEGAS,89031,NV,702-462-2031,senior-services,assisted-living-group
ST FRANCIS GROUP HOME #2,4151 E ST LOUIS AVENUE,LAS VEGAS,89104,NV,702-457-4961,senior-services,assisted-living-group
ST FRANCIS GROUP HOME CARE III,4121 E BOSTON AVE ,LAS VEGAS,89104,NV,702-457-2378,senior-services,assisted-living-group
ST FRANCIS GROUP HOME CARE V,4245 E BALTIMORE AVE ,LAS VEGAS,89104,NV,702-431-4792,senior-services,assisted-living-group
ST JEAN SENIOR CARE,6924 ACOMA CRT,LAS VEGAS,89145,NV,702-521-4797,senior-services,assisted-living-group
ST JEREMIAH CARE HOME,3918 CHEROKEE AVENUE ,LAS VEGAS,89121,NV,702-823-3277,senior-services,assisted-living-group
ST JOSEPH ADULT GROUP CARE V,4110 E BOSTON AVE,LAS VEGAS,89104,NV,702-431-7421,senior-services,assisted-living-group
ST JOSEPH GROUP CARE I,4309 THYME AVE,LAS VEGAS,89110,NV,702-438-3017,senior-services,assisted-living-group
ST JOSEPH GROUP CARE III,4018 E BALTIMORE AVE,LAS VEGAS,89104,NV,702-432-9117,senior-services,assisted-living-group
ST JOSEPH GROUP CARE VI,4028 E BOSTON AVENUE,LAS VEGAS,89104,NV,702-641-4766,senior-services,assisted-living-group
ST JUDE HOME CARE,6880 HATHAWAY DRIVE,LAS VEGAS,89156,NV,702-438-5046,senior-services,assisted-living-group
ST MICHAEL GROUP HOME,3980 PLACITA AVENUE,LAS VEGAS,89121,NV,702-457-2315,senior-services,assisted-living-group
STAR HORIZONS GROUP HOME,2122 WEBSTER ST ,NORTH LAS VEGAS,89030,NV,702-209-6627,senior-services,assisted-living-group
STERLING RIDGE,4255 SPENCER STREET ,LAS VEGAS,89119,NV,702-732-0652,senior-services,assisted-living-group
SUMMERLIN RETIREMENT HOME,309 LA RUE COURT,LAS VEGAS,89145,NV,702-860-5118,senior-services,assisted-living-group
"SUMMERLIN RETIREMENT LIVING, LLC",10128 SNOW CREST PLACE ,LAS VEGAS,89134,NV,702-984-0206,senior-services,assisted-living-group
SUNRISE OF HENDERSON,1555 WEST HORIZON RIDGE PARKWAY ,HENDERSON,89012,NV,702-837-6582,senior-services,assisted-living-group
SUNSHINE CARE HOME,3970 MARYLAND AVE ,LAS VEGAS,89121,NV,702-914-9858,senior-services,assisted-living-group
SUNSHINE CARE HOME II,3045 SOUTH TIOGA WAY ,LAS VEGAS,89117,NV,702-631-1551,senior-services,assisted-living-group
SUNSHINE VALLEY ELDER CARE,465 RIDGEWAY RD ,HENDERSON,89015,NV,702-558-7662,senior-services,assisted-living-group
SWEET HEART CARE HOME,213 RED HORIZON TERRACE,HENDERSON,89015,NV,702-558-7468,senior-services,assisted-living-group
SWEET HOME BELMONT LLC,2908 BELMONT DR ,HENDERSON,89074,NV,702-473-9752,senior-services,assisted-living-group
TENDER LOVING CARE SENIOR RESIDENCE,1401 CASA DEL REY CRT ,LAS VEGAS,89117,NV,702-228-2994,senior-services,assisted-living-group
THE BRIDGE AT PARADISE VALLEY ASSISTED LIVING,2205 EAST HARMON AVE,LAS VEGAS,89119,NV,702-369-6964,senior-services,assisted-living-group
THE ELDERLY ARISTOCRAT,2380 MOHIGAN WAY,LAS VEGAS,89109,NV,702-796-9952,senior-services,assisted-living-group
THE ELDERLY ARISTOCRAT III,3700 TIOGA WAY ,LAS VEGAS,89109,NV,702-768-2304,senior-services,assisted-living-group
"THE HOMESTEAD AT BOULDER CITY, INC.",1401 MEDICAL PARK DR ,BOULDER CITY,89005,NV,702-294-8720,senior-services,assisted-living-group
THE MEADOWS HOME,4300 DEL MONTE AVENUE,LAS VEGAS,89102,NV,702-258-1212,senior-services,assisted-living-group
THE ROSE OF SHARON,355 EVAN PICONE,HENDERSON,89014,NV,702-450-2082,senior-services,assisted-living-group
THE ROYAL PLACE INC,3644 MOUNTCREST DRIVE ,LAS VEGAS,89121,NV,702-476-1533,senior-services,assisted-living-group
THE VICTORIAN CENTER LLC I,11 WHITEWIND LANE,LAS VEGAS,89110,NV,702-459-2561,senior-services,assisted-living-group
THE VICTORIAN CENTER LLC II,1895 PRISCILLA ST,LAS VEGAS,89115,NV,702-453-2565,senior-services,assisted-living-group
THERESIANE ADULT GROUP CARE HOME,6620 ELLERHURST DRIVE ,LAS VEGAS,89103,NV,702-251-7886,senior-services,assisted-living-group
TLC COSTA BRAVA LLC,6737 COSTA BRAVA ROAD,LAS VEGAS,89146,NV,702-556-1639,senior-services,assisted-living-group
TOUCH OF LOVE II,3000 EMMONS AVENUE ,NORTH LAS VEGAS,89030,NV,702-649-7415,senior-services,assisted-living-group
"TRANQUIL BREEZES CARE HOME, LLC",237 PALMETTO POINTE DRIVE ,HENDERSON,89012,NV,702-292-4764,senior-services,assisted-living-group
TRINIBELLE ELDERLY CARE,5319 STAMPA AVE,LAS VEGAS,89146,NV,702-253-5627,senior-services,assisted-living-group
TRUE LOVING CARE II LLC,8020 FAIRFIELD AVE,LAS VEGAS,89123,NV,702-480-5339,senior-services,assisted-living-group
V N SENIOR CARE INC OF SEVEN HILLS,993 GOLD BEAR DRIVE,HENDERSON,89052,NV,702-361-1164,senior-services,assisted-living-group
V NICHOLAS ADULT CARE HOME #2,4304 EL CAMINO AVENUE,LAS VEGAS,89102,NV,702-220-8089,senior-services,assisted-living-group
VEGAS VALLEY SENIOR CARE RESIDENCE,6085 S LAMB BLVD,LAS VEGAS,89120,NV,702-724-0218,senior-services,assisted-living-group
VETERANS VILLAGE #3 ASSISTED LIVING,100 SOUTH 14TH STREET ,LAS VEGAS,89101,NV,702-333-4100,senior-services,assisted-living-group
VINTAGE PARK AT SAN MARTIN,7230 GAGNIER BLVD ,LAS VEGAS,89113,NV,702-263-6313,senior-services,assisted-living-group
WASHINGTON SENIOR GUEST HOME,3709 W WASHINGTON AVE ,LAS VEGAS,89107,NV,702-870-7157,senior-services,assisted-living-group
"WE CARE RESIDENTIAL HOME, LLC",3858 MOONGATE CIRCLE ,LAS VEGAS,89103,NV,702-945-6682,senior-services,assisted-living-group
WENTWORTH OF LAS VEGAS,2620 LAKE SAHARA DR ,LAS VEGAS,89117,NV,702-233-9800,senior-services,assisted-living-group
WEST MORNING STAR CARE HOME,7375 MOUNTAIN ASH DRIVE,LAS VEGAS,89147,NV,702-222-0858,senior-services,assisted-living-group
WICKER BASKET,3020 BEAUFORT CT ,NORTH LAS VEGAS,89032,NV,702-631-0791,senior-services,assisted-living-group
WINDSONG CARE HOME L.L.C.,209 WINDSONG ST,LAS VEGAS,89145,NV,702-815-9998,senior-services,assisted-living-group
"YOUR WAY OF LIVING, LLC",9900 VERMILLION CLIFFS AVE ,LAS VEGAS,89147,NV,725-244-4232,senior-services,assisted-living-group
